Descripcio;Nom_comercial;Codi_carrer;Nom_carrer;Numero_inf;Lletra_inf;Accessori_inf;Numero_sup;Lletra_sup; Accessori_sup;Escala;Pis;Porta;Id_edifici;utm_x_etrs89; utm_y_etrs89;lon;lat
BAR-RESTAURANT SENSE ELEMENTS DE COCCIÓ;LOTTUS CAFFE;2;Avinguda del Vint de Juny;7;-;N;;-;N;-;BS;-;3946;485009;4647997;2,81903363;41,98383246
CENTRE CÍVIC: SALES D'ACTES/AUDITORIS-SALES POLIVALENTS-BAR-BIBLIOTECA;CENTRE CÍVIC CAN MARFÀ;4;Carrer de Baix;2;-;N;;-;N;-;BS;1;4781;483978;4647359;2,8066052;41,97806593
BAR RESTAURANT (CAT. 3);SIDRAL;4;Carrer de Baix;40;-;N;;-;N;-;BS;-;4795;483911;4647284;2,80579852;41,97738906
BAR - RESTAURANT (CAT.3);NU;6;Carrer dels Abeuradors;4;-;N;;-;N;-;BS;-;11007;485467;4647954;2,82456349;41,98345376
BAR RESTAURANT (CAT. 3);MARI;8;Carrer d'Enric Adroher i Pascual;14;-;S;;-;N;-;BS;-;7362;484814;4648956;2,81665489;41,99246609
BAR;CAL TIET;9;Carrer de les Agudes;18;-;N;;-;N;-;BS;1;5414;483620;4647139;2,80229008;41,9760771
BAR RESTAURANT (CAT. 3);EL BARCO;9;Carrer de les Agudes;20;-;N;;-;N;-;BS;-;5415;483641;4647110;2,80254436;41,97581635
BAR;ESCAPA;9;Carrer de les Agudes;25;-;N;;-;N;-;BS;A;5245;483685;4647067;2,80307664;41,97542997
BAR;DON COPAS;9;Carrer de les Agudes;30;-;N;;-;N;-;BS;2;5431;483659;4647021;2,8027641;41,97501513
BAR;LA PLAÇA;9;Carrer de les Agudes;30;-;N;;-;N;-;BS;3;5431;483659;4647021;2,8027641;41,97501513
BAR RESTAURANT (CAT.3);LA FONDA DE L'ENRIC;9;Carrer de les Agudes;35;-;N;;-;N;-;BS;1;5227;483699;4646993;2,80324767;41,97476377
BAR;MESON CAN GIBERT;9;Carrer de les Agudes;56;-;N;;-;N;-;BS;1;5691;483674;4646842;2,80295012;41,97340325
BAR RESTAURANT (CAT.1);LIN;9;Carrer de les Agudes;58;-;N;;-;N;-;BS;-;5692;483668;4646829;2,80287806;41,97328604
CASINO AMB BAR;CASINO DE GIRONA;14;Carrer de l'Albereda;7;-;N;;-;N;-;1;-;102;485443;4647812;2,82427729;41,98217437
BAR RESTAURANT (CAT. 2);EL RACÓ DEL CAVA;14;Carrer de l'Albereda;15;-;N;;-;N;-;BS;1;98;485424;4647752;2,82404943;41,98163362
BAR-RESTAURANT (CAT. 1) AMB VENDA DE PRODUCTES ALIMENTARIS ENVASATS;na;14;Carrer de l'Albereda;15;-;N;;-;N;-;BS;2;98;485424;4647752;2,82404943;41,98163362
HOTEL AMB BAR-RESTAURANT DE CLASSE 2;HOTEL HISTÒRIC;16;Carrer dels Alemanys;1;-;N;;-;N;-;-;-;5918;485636;4648268;2,82659591;41,98628494
BAR AMB TERRASSA PRIVADA;JIMMY'S BAR;16;Carrer dels Alemanys;10;-;N;;-;N;-;BS;-;5880;485702;4648271;2,82739259;41,98631316
BAR RESTAURANT (CAT. 3);EL DESIG;24;Carrer d'Andreu Tuyet i Santamaria;20;-;N;;-;N;-;BS;-;1951;485657;4646706;2,82688753;41,97221692
BAR;BAR TUYET 25;24;Carrer d'Andreu Tuyet i Santamaria;25;-;N;;-;N;-;BS;2;1917;485750;4646750;2,82800892;41,97261491
BAR;GRANJA CAFETERIA JAFER;24;Carrer d'Andreu Tuyet i Santamaria;31;-;N;;-;N;-;BS;3;1917;485750;4646750;2,82800892;41,97261491
BAR;CAPILLA;25;Carrer de l'Aneto;16;-;N;;-;N;-;BS;-;7668;483642;4649298;2,80249553;41,99552289
BAR RESTAURANT (CAT. 3) I ELABORACIÓ I VENDA DE GELATS;KERUNTA;29;Carrer d'Anselm Clavé i Camps;9;-;N;;-;N;-;BS;-;3794;485335;4648148;2,82296521;41,9851986
BAR- RESTAURANT (CAT.1);ESCONXURO;29;Carrer d'Anselm Clavé i Camps;22;-;N;;-;N;-;BS;-;3845;485317;4648163;2,82274754;41,98533336
BAR;SHABI KEBAB;29;Carrer d'Anselm Clavé i Camps;26;-;N;;-;N;-;BS;-;3847;485309;4648158;2,82265109;41,98528818
BAR-RESTAURANT;LA PUJADA;33;Carrer d'Aragó;16;-;N;;-;N;-;-;-;3597;484082;4644367;2,80794148;41,95112007
BAR-RESTAURANT;na;33;Carrer d'Aragó;58;-;N;;-;N;-;-;1;3559;484696;4644456;2,81534734;41,95193382
BAR;SANT NARCIS;39;Plaça de l'Assumpció;17;-;N;;-;N;-;-;-;4490;484308;4647045;2,81059685;41,97524448
BAR RESTAURANT (CAT. 3);BAR RESTAURANT BUFFET CITY;40;Carrer d'Astúries;53;-;N;;-;N;-;-;-;11687;484115;4644680;2,80833119;41,95393983
XIQUI PARK (ZONA JOCS INFANTILS + BAR RESTAURANT (CAT.3));LUA'S PARK;40;Carrer d'Astúries;55;-;N;;-;N;-;-;-;11686;484134;4644701;2,80855988;41,95412935
BAR RESTAURANT (CAT. 2) AMB VENDA DE PRODUCTES DE PASTISSERIA;PA'TY;47;Carrer de Bailèn;4;-;N;;-;N;-;BS;1;1120;484938;4647590;2,81818698;41,9801654
BAR SENSE ELEMENTS DE COCCIÓ;KDIEGO;48;Carrer del Balandrau;9;-;N;;-;N;-;BS;4;10691;484083;4647016;2,80788189;41,97497877
BAR RESTAURANT (CAT. 3) AMB ZONA DE VENDA;1810 GASTRONOMIA MEXICANA;51;Carrer de les Ballesteries;1;-;N;;-;N;-;BS;2;5993;485485;4648173;2,82477537;41,98542654
BAR;LA TERRA;51;Carrer de les Ballesteries;23;-;N;;-;N;-;BS;-;6004;485484;4648223;2,82476207;41,98587686
BAR SENSE ELEMENTS DE COCCIÓ;EL PATI DE LA VEÏNA;51;Carrer de les Ballesteries;45;-;N;;-;N;-;BS;1;6014;485470;4648283;2,82459157;41,986417
BAR RESTAURANT (CAT. 3);BALMES;52;Carrer de Jaume Balmes;3;-;N;;-;N;-;BS;1;2645;484993;4647074;2,81886405;41,97551901
BAR RESTAURANT (CAT. 3) AMB MÚSICA DE FONS AMBIENTAL;PEIX DE LA TEVA COSTA;52;Carrer de Jaume Balmes;16;-;N;;-;N;-;BS;-;2632;485026;4647106;2,81926154;41,97580785
BAR-RESTAURANT (CAT. 3) AMB MÚSICA DE FONS AMBIENTAL;THE RIVER CAFÈ;55;Carrer de la Barca;2;-;N;8;-;N;-;BS;3;6071;485455;4648494;2,82440527;41,98831712
BAR RESTAURANT (CAT. 2);LA VEDETTE;55;Carrer de la Barca;17;-;N;;-;N;-;BS;1;6070;485439;4648543;2,8242109;41,98875815
BAR SENSE ELEMENTS DE COCCIÓ;EL PRIMER GLOP;55;Carrer de la Barca;23;-;N;;-;N;-;BS;-;6055;485459;4648573;2,82445161;41,98902872
BAR RESTAURANT (CAT. 3) SENSE ELEMENTS DE COCCIÓ;XANTAR;55;Carrer de la Barca;24;-;N;26;-;N;-;BS;-;6086;485484;4648553;2,82475391;41,98884905
BAR RESTAURANT (CAT. 3);MOMA CAFÈ;56;Carrer de Barcelona;5;-;N;;-;N;-;BS;-;1160;485015;4647699;2,81911366;41,98114859
BAR I VENDA DE PA;GIROPA;56;Carrer de Barcelona;31;-;N;;-;N;-;BS;4;1231;484966;4647519;2,81852678;41,97952646
BAR RESTAURANT (CAT. 1);BUS STOP BAR;56;Carrer de Barcelona;35;-;N;;-;N;-;BS;1;1229;484942;4647480;2,81823808;41,97917474
BAR RESTAURANT (CAT. 3);BLESSING;56;Carrer de Barcelona;48;-;N;;-;N;-;BS;-;1134;484836;4647290;2,81696348;41,97746145
BAR RESTAURANT (CAT. 3);MIRAN;56;Carrer de Barcelona;81;-;N;;-;N;-;BS;2;1572;484711;4646704;2,81546991;41,97218113
BAR RESTAURANT (CAT. 3);HUSSAIN DONER KEBAB;56;Carrer de Barcelona;83;-;N;;-;N;-;BS;2;1571;484706;4646689;2,81540996;41,97204593
BAR;EL MATINER;56;Carrer de Barcelona;83;-;N;;-;N;-;BS;3;1571;484706;4646689;2,81540996;41,97204593
BAR-RESTAURANT (CAT. 3);KASEUS;56;Carrer de Barcelona;85;-;N;;-;N;-;BS;1;1570;484704;4646677;2,81538613;41,97193781
BAR RESTAURANT (CAT. 1);EL RACÓ D'EPI I BLAS;56;Carrer de Barcelona;87;-;N;;-;N;-;BS;1;1610;484695;4646661;2,81527792;41,97179353
BAR RESTAURANT (CAT. 2);EL CONFESSIONARI;56;Carrer de Barcelona;99;-;N;;-;N;-;BS;2;1623;484676;4646585;2,81505059;41,97110865
BAR RESTAURANT (CAT. 3) AMB ELABORACIÓ DE PIZZES PER EMPORTAR;L'ORA DELLA PIZZA;56;Carrer de Barcelona;124;-;N;;-;N;-;BS;A1;10996;484567;4646393;2,81374008;41,96937725
BAR RESTAURANT (CAT. 3);PORCUS;56;Carrer de Barcelona;209;-;N;;-;N;-;-;-;3544;484453;4645719;2,81238204;41,96330451
VENDA AL MENOR DE BARBACOES I HIDRONETEJADORES;WEBER CENTER GIRONA;56;Carrer de Barcelona;405;A;N;;-;N;-;-;-;11190;484145;4644775;2,80869061;41,95479607
BAR RESTAURANT (CAT. 2) AMB VENDA DE MENJARS CUINATS PER EMPORTAR;PLATS CUINATS JOAN VICENS;56;Carrer de Barcelona;427;-;N;;-;N;-;BS;-;3633;484080;4644609;2,8079108;41,95329965
BAR;APOLO;60;Carrer del Bassegoda;10;-;N;;-;N;-;BS;-;5219;483810;4647171;2,80458253;41,97636924
FONDA/BAR-RESTAURANT (CAT.3);ALHAMBRA;60;Carrer del Bassegoda;18;-;N;;-;N;-;BS;-;5192;483827;4647112;2,80478934;41,9758382
BAR RESTAURANT (CAT. 2);LOS AMIGOS;61;Carrer de Bastiments;1;-;N;;-;N;-;BS;2;4859;484115;4646868;2,80827212;41,97364643
BAR AMB SALA D'INTERNET;FRANGIPANE;61;Carrer de Bastiments;7;-;S;;-;N;-;BS;1;4858;484082;4646878;2,80787355;41,97373583
BAR;ZONA VIP;61;Carrer de Bastiments;9;-;N;;-;N;-;BS;3;5638;484031;4646905;2,80725726;41,97397798
BAR;BAR RAFA;61;Carrer de Bastiments;9;-;N;;-;N;-;BS;2;5638;484031;4646905;2,80725726;41,97397798
BAR RESTAURANT (CAT. 1) SENSE ELEMENTS DE COCCIÓ;EL VINITU;64;Plaça dels Bell-lloc;4;-;N;;-;N;-;BS;4;75;485475;4647845;2,82466276;41,98247218
BAR;LA MALABARISTA;64;Plaça dels Bell-lloc;4;-;N;;-;N;-;BS;2;75;485475;4647845;2,82466276;41,98247218
BAR AMB OBRADOR PER ELABORACIÓ MENJARS PREPARATS;CAN CANALLA;64;Plaça dels Bell-lloc;4;-;N;;-;N;-;BS;3;75;485475;4647845;2,82466276;41,98247218
BAR RESTAURANT (CAT. 3);CURCUMA;64;Plaça dels Bell-lloc;4;-;N;;-;N;-;BS;1;75;485475;4647845;2,82466276;41,98247218
BAR RESTAURANT;LA TASCA;66;Carrer del Bellaire;7;-;N;;-;N;-;BS;1;6090;485501;4648571;2,8249587;41,98901148
BAR;L'ARBRE;66;Carrer del Bellaire;13;-;N;;-;N;-;BS;-;6058;485462;4648596;2,82448725;41,98923593
BAR-RESTAURANT (CAT. 3);CAN SALA;69;Carrer de Berenguer Carnicer;3;-;N;;-;N;-;BS;1;3867;485329;4648412;2,82288619;41,98757624
BAR;LA BUXEDA;71;Carrer de Bernat Boades;3;-;N;;-;N;-;BS;1;4086;484918;4647935;2,81793671;41,98327231
BAR-RESTAURANT (CAT. 2) AMB ELABORACIÓ I VENDA DE PA;LA TORRATXA;71;Carrer de Bernat Boades;27;-;N;;-;N;-;BS;2;4231;484709;4647831;2,81541647;41,98233159
BAR RESTAURANT (CAT. 3);EL CALIU;71;Carrer de Bernat Boades;45;-;N;;-;N;-;BS;1;10969;484516;4647690;2,81309042;41,98105788
BAR RESTAURANT (CAT. 3);QUÈ TAL?;71;Carrer de Bernat Boades;66;-;N;;-;N;-;BS;A;8846;484625;4647700;2,8144059;41,98115008
BAR;LA PEDRERA;71;Carrer de Bernat Boades;92;-;N;;-;N;-;BS;1;4211;484388;4647568;2,81154856;41,97995655
BAR RESTAURANT (CAT. 3) AMB FORN DE LLENYA;LA NUOVA PULCINELLA;74;Carrer de Tomás de Lorenzana;18;-;N;20;-;N;-;BS;2;1303;485263;4647377;2,82211536;41,97825313
BAR RESTAURANT;NELSON;74;Carrer de Tomás de Lorenzana;44;-;N;;-;N;A;BS;1;1225;484985;4647489;2,81875689;41,97925662
BAR;OASIS;74;Carrer de Tomás de Lorenzana;45;-;N;;-;N;-;BS;1;1382;485002;4647422;2,8189638;41,9786535
BAR RESTAURANT (CAT. 2);SHOTS;74;Carrer de Tomás de Lorenzana;47;-;N;;-;N;-;BS;2;1381;484991;4647424;2,81883097;41,97867131
BAR RESTAURANT (CAT. 2);EL RACÓ DEL PARC;75;Carrer de Bisbe Sivilla;6;-;N;;-;N;-;BS;DR;4240;484663;4647560;2,81486826;41,97988989
BAR RESTAURANT (CAT. 1);RO-SER;75;Carrer de Bisbe Sivilla;8;-;N;;-;N;-;BS;1;4240;484663;4647560;2,81486826;41,97988989
BAR RESTAURANT (CAT. 3) I VENDA DE MENJARS PREPARATS;BAR ESTACIÓ;75;Carrer de Bisbe Sivilla;10;-;N;;-;N;-;BS;2;4240;484663;4647560;2,81486826;41,97988989
BAR-RESTAURANT (CAT. 3);TXALAKA;78;Carrer de Bonastruc de Porta;4;-;N;;-;N;-;BS;-;3986;485093;4648211;2,82004222;41,98576148
BAR MUSICAL;LOLA CAFÈ;79;Carrer de Bonaventura Carreras i Peralta;7;-;N;;-;N;-;BS;1;5814;485534;4648140;2,82536771;41,98513023
BAR SENSE ELEMENTS DE COCCIÓ;THE UNICORNER;79;Carrer de Bonaventura Carreras i Peralta;7;-;N;;-;N;-;BS;2;5814;485534;4648140;2,82536771;41,98513023
BAR RESTAURANT (CAT. 2);LES QUATRE ESTACIONS;79;Carrer de Bonaventura Carreras i Peralta;11;-;N;;-;N;-;BS;-;5813;485518;4648153;2,82517424;41,98524702
BAR;1810 TACOS & TAPAS MEXICAN FOOD;88;Carrer dels Calderers;6;-;N;;-;N;-;BS;-;6042;485444;4648400;2,8242748;41,9874703
BAR-RESTAURANT (CAT. 1) AMB MÚSICA DE FONS AMBIENTAL;EL CUL DE LA LLEONA;88;Carrer dels Calderers;8;-;N;;-;N;-;BS;-;6043;485443;4648405;2,82426261;41,98751531
BAR RESTAURANT;CAN MARQUÈS;89;Plaça de Francesc Calvet i Rubalcaba;3;-;N;;-;N;-;BS;15;1092;485325;4647606;2,82285802;41,98031681
BAR RESTAURANT (CAT. 1);LA GRANJA;95;Carrer de Campcardós;27;-;N;29;-;N;-;BS;1;5648;483881;4646879;2,80544751;41,97374075
BAR;CAFETERIA FÒRUM;95;Carrer de Campcardós;44;-;N;46;-;N;-;BS;2;8695;483919;4646899;2,80590562;41,97392166
BAR;KIUBO;95;Carrer de Campcardós;61;-;N;;-;N;-;BS;1;5689;483677;4646880;2,80298527;41,97374556
BAR;LA BRUIXETA;95;Carrer de Campcardós;74;-;N;;-;N;-;BS;1;5667;483708;4646918;2,80335838;41,97408846
BAR RESTAURANT (CAT. 3);CAN BARCELÓ;99;Disseminat de Campdorà;72;-;N;;-;N;-;-;-;10433;486743;4652464;2,83986497;42,02409615
BAR-RESTAURANT (CAT. 3);DOMENY;108;Carrer de Can Torroella;9;-;N;;-;N;-;BS;1;8386;482572;4648645;2,78959594;41,98961861
CLUB DE TIR AMB BAR-RESTAURANT (CAT. 3);BAR RESTAURANT CLUB TIR OLÍMPIC;108;Carrer de Can Torroella;35;-;N;39;-;N;-;-;-;12845;482288;4648291;2,78617797;41,98642393
BAR;BAGELS AND BEERS;111;Passeig de José Canalejas;1;-;N;;-;N;-;BS;2;3858;485375;4648295;2,82344443;41,98652332
BAR SENSE ELEMENTS DE COCCIÓ;REVOX CAFÉ;111;Passeig de José Canalejas;2;-;N;;-;N;-;BS;1;3858;485375;4648295;2,82344443;41,98652332
BAR-SALA DE BALL (DISCOTECA);GOSSIP;111;Passeig de José Canalejas;2;-;N;;-;N;-;BS;2;3858;485375;4648295;2,82344443;41,98652332
BAR-RESTAURANT (CAT. 3);BUBBLES;111;Passeig de José Canalejas;6;-;N;;-;N;-;-;-;10830;485348;4648381;2,82311633;41,98729739
BAR RESTAURANT (CAT. 3) AMB MÚSICA DE FONS AMBIENTAL;DUBAI SISHA LOUNGE;122;Carrer de Cardenal Margarit;6;-;N;;-;N;-;BS;-;11671;485179;4647177;2,82110648;41,97645022
BAR;EL CANTIR;122;Carrer de Cardenal Margarit;9;-;N;;-;N;-;-;-;1444;485201;4647156;2,82137255;41,97626149
BAR RESTAURANT (CAT. 2);TERRAL;122;Carrer de Cardenal Margarit;11;-;N;;-;N;-;BS;-;1443;485198;4647145;2,82133662;41,97616236
BAR SENSE ELEMENTS DE COCCIÓ;EL SÍMBOL;125;Carrer del Carme;20;-;N;;-;N;-;BS;1;603;485574;4646991;2,82587878;41,97478231
BAR;BIONBO;125;Carrer del Carme;75;-;N;;-;N;-;BS;-;369;485466;4647370;2,82456586;41,97819385
BAR RESTAURANT (CAT. 1);BAR ONYAR;125;Carrer del Carme;189;-;N;;-;N;-;BS;1;477;485616;4647011;2,82638522;41,97496321
BAR RESTAURANT (CAT. 3);LA MADUIXA;128;Travessia del Carril;2;-;N;;-;N;-;BS;4;1102;484922;4647750;2,81798974;41,98160616
BAR;EL RINCÓN DEL BANI;138;Carrer del Castell de Solterra;5;-;N;;-;N;-;BS;3;1918;485722;4646779;2,82767027;41,97287559
BAR-RESTAURANT (CAT. 3);PONT DE PEDRA;140;Plaça de Catalunya;2;-;N;;-;N;-;BS;-;11151;485429;4647847;2,82410743;41,98248934
BAR AMB VENDA DE PA;EL PESSIC;140;Plaça de Catalunya;10;-;N;;-;N;-;BS;1;84;485406;4647777;2,82383152;41,98185845
BAR-RESTAURANT (CAT. 2) I PUNT DE VENDA DE PA;PLIS PLAS;140;Plaça de Catalunya;21;-;N;;-;N;-;BS;4;1062;485316;4647748;2,82274584;41,98159559
BAR RESTAURANT (CAT. 1);BLEND SPECIALITY COFFEE;140;Plaça de Catalunya;21;-;N;;-;N;-;BS;1;1062;485316;4647748;2,82274584;41,98159559
BAR SENSE ELEMENTS DE COCCIÓ;PORCUS;140;Plaça de Catalunya;25;-;N;;-;N;-;BS;1;1045;485313;4647780;2,82270882;41,98188374
BAR RESTAURANT (CAT. 2);SI NO FOS;140;Plaça de Catalunya;25;-;N;;-;N;-;BS;2;1045;485313;4647780;2,82270882;41,98188374
BAR-RESTAURANT;BAU BAR;142;Plaça de la Catedral;8;-;N;;-;N;-;-;1;5947;485534;4648357;2,82536237;41,98708467
BAR;CAFE L'ARC;142;Plaça de la Catedral;9;-;N;;-;N;-;BS;-;5984;485512;4648365;2,82509658;41,98715632
BAR;KIU;144;Carrer de Caterina Albert;1;-;N;;-;N;-;BS;-;4075;484518;4648045;2,81310521;41,98425528
BAR RESTAURANT (CAT. 3);AMBER;147;Carrer de Cerverí;5;-;N;;-;N;-;BS;-;11851;484982;4648154;2,81870369;41,98524599
BAR;EMIRATES DRINKS;147;Carrer de Cerverí;7;-;N;;-;N;-;BS;1;3984;484975;4648175;2,81861865;41,985435
BAR RESTAURANT (CAT.3);EMIRATES;147;Carrer de Cerverí;9;-;N;;-;N;-;BS;-;3983;484970;4648190;2,8185579;41,98557
BAR AMB VENDA DE PA;EL PETIT FORNET;148;Carrer del Cervino;12;-;N;;-;N;-;BS;-;7573;483814;4649191;2,80457518;41,99456273
BAR;EL CAFÈ;149;Carrer dels Ciutadans;1;-;N;;-;N;-;BS;-;5723;485485;4647947;2,82478095;41,98339104
BAR SENSE ELEMENTS DE COCCIÓ;EL CERCLE;149;Carrer dels Ciutadans;8;-;N;;-;N;-;BS;-;32;485538;4647951;2,82542065;41,98342804
BAR RESTAURANT (CAT. 3);LA SALSA DE GIRONA;149;Carrer dels Ciutadans;14;-;N;;-;N;-;BS;1;23;485540;4647996;2,82544368;41,98383338
BAR-RESTAURANT (CAT. 2);ARRÒS I PEIX;149;Carrer dels Ciutadans;20;-;N;;-;N;-;-;-;5867;485559;4648061;2,82567145;41,98441916
BAR RESTAURANT (CAT. 3);LA FERLA;150;Carrer de la Claveria;6;-;N;;-;N;-;BS;1;5903;485573;4648273;2,82583525;41,98632883
BAR RESTAURANT (CAT. 3);CAFETERIA PANDI;158;Carrer del Cor de Maria;9;-;N;;-;N;-;BS;1;2649;484960;4647085;2,81846545;41,97561746
BAR RESTAURANT (CAT. 3);ALL I CEBA;160;Carrer de Còrsega;2;-;S;;-;N;-;BS;-;6804;485443;4650298;2,82421569;42,00456486
BAR AMB MÚSICA DE FONS AMBIENTAL;BROTS DE VI;161;Carrer de la Cort Reial;1;-;N;;-;N;-;BS;3;5798;485542;4648085;2,82546564;41,98463501
BAR-RESTAURANT (CAT.1);MAGUEY;161;Carrer de la Cort Reial;1;-;N;;-;N;-;BS;1;5798;485542;4648085;2,82546564;41,98463501
BAR RESTAURANT (CAT. 3);DRAPS;161;Carrer de la Cort Reial;2;-;N;;-;N;-;BS;-;11230;485549;4648112;2,82554947;41,98487832
BAR;MUSEU DEL VI;161;Carrer de la Cort Reial;4;-;N;;-;N;-;BS;-;5800;485535;4648111;2,82538049;41,98486905
BAR RESTAURANT (CAT. 3);ZANPANZAR;161;Carrer de la Cort Reial;10;-;N;;-;N;-;BS;-;5803;485523;4648106;2,82523576;41,9848238
BAR-RESTAURANT (CAT. 3);CREPERIA BRETONNE;161;Carrer de la Cort Reial;14;-;N;;-;N;-;BS;-;5807;485522;4648126;2,82522319;41,98500391
BAR RESTAURANT (CAT.1);VINTAGES;161;Carrer de la Cort Reial;15;B;N;;-;N;-;BS;-;5821;485485;4648103;2,8247771;41,98479608
BAR;LA POMA;161;Carrer de la Cort Reial;16;-;N;;-;N;-;BS;-;5808;485512;4648130;2,82510237;41,98503976
BAR RESTAURANT (CAT.1);L'ESTRELLA DEL MAR;161;Carrer de la Cort Reial;17;-;N;;-;N;-;BS;1;5832;485495;4648108;2,8248977;41,9848413
BAR I LLIBRERIA;BAR LLIBRERIA CONTEXT;161;Carrer de la Cort Reial;18;-;N;;-;N;-;BS;1;5809;485511;4648142;2,82509001;41,98514782
BAR;S-BAR-JO;166;Carrer de la Creu;5;-;N;;-;N;-;BS;-;1528;485342;4647026;2,82307769;41,97509326
BAR RESTAURANT (CAT. 3);LA CREU;166;Carrer de la Creu;7;-;N;;-;N;-;BS;-;1527;485322;4647034;2,82283609;41,97516494
BAR RESTAURANT (CAT. 1) AMB COMERÇ AL DETALL DE PRODUCTES ALIMENTARIS;KRONOS;166;Carrer de la Creu;23;-;N;;-;N;-;BS;-;11898;485198;4647076;2,82133835;41,9755409
BAR;MONET;166;Carrer de la Creu;30;-;N;;-;N;-;BS;2;1439;485192;4647113;2,821265;41,97587404
BAR SENSE ELEMENTS DE COCCIÓ;EL CAFÈ;166;Carrer de la Creu;34;-;N;;-;N;-;BS;2;1420;485146;4647123;2,82070952;41,97596324
BAR AMB SERVEI DE FLECA;SANT PAU;166;Carrer de la Creu;34;-;N;;-;N;-;BS;1;1420;485146;4647123;2,82070952;41,97596324
BAR;EXPRÉSSATÉ;166;Carrer de la Creu;37;-;N;;-;N;A;BS;1;2620;485082;4647086;2,81993798;41,97562878
BAR SENSE ELEMENTS DE COCCIÓ;DOLMA;166;Carrer de la Creu;39;-;N;;-;N;-;BS;1;2634;485054;4647103;2,81959958;41,97578137
BAR RESTAURANT (CAT. 3);BRAVO BRAVO BRAVO;166;Carrer de la Creu;39;-;N;;-;N;-;BS;2;2634;485054;4647103;2,81959958;41,97578137
BAR;EL MOLÍ PAN Y CAFÉ;166;Carrer de la Creu;43;-;N;;-;N;-;BS;A;2633;485031;4647117;2,81932161;41,97590702
BAR SENSE ELEMENTS DE COCCIÓ;DELITALIA;166;Carrer de la Creu;52;-;N;;-;N;-;BS;3;2669;484913;4647195;2,81789534;41,97660729
BAR SENSE ELEMENTS DE COCCIÓ I ELABORACIÓ I VENDA DE PA I PASTISSERIA;EL FORNET DE LA CREU;166;Carrer de la Creu;52;-;N;;-;N;-;BS;2;2669;484913;4647195;2,81789534;41,97660729
