"Codi_Carrer";"Codi_Tipus_Via";"Nexe";"Nom_carrer";"Nom_complet"
"0001";"C.";"de l'";"Onze de Setembre";"Carrer de l'Onze de Setembre"
"0002";"Av.";"del";"Vint de Juny";"Avinguda del Vint de Juny"
"0003";"C.";"del";"Vuit de Juliol de 1809";"Carrer del Vuit de Juliol de 1809"
"0004";"C.";"de";"Baix";"Carrer de Baix"
"0005";"C.";"de l'";"Abat Escarré";"Carrer de l'Abat Escarré"
"0006";"C.";"dels";"Abeuradors";"Carrer dels Abeuradors"
"0007";"C.";"de l'";"Acàcia";"Carrer de l'Acàcia"
"0008";"C.";"d'";"Enric Adroher i Pascual";"Carrer d'Enric Adroher i Pascual"
"0009";"C.";"de les";"Agudes";"Carrer de les Agudes"
"0010";"C.";"de";"Josep Aguilera i Martí";"Carrer de Josep Aguilera i Martí"
"0011";"C.";"d'";"Agustí Riera i Pau";"Carrer d'Agustí Riera i Pau"
"0012";"C.";"d'";"Alacant";"Carrer d'Alacant"
"0013";"C.";"d'";"Albacete";"Carrer d'Albacete"
"0014";"C.";"de l'";"Albereda";"Carrer de l'Albereda"
"0015";"C.";"d'";"Albí";"Carrer d'Albí"
"0016";"C.";"dels";"Alemanys";"Carrer dels Alemanys"
"0017";"C.";"de";"Valentí Almirall i Llozer";"Carrer de Valentí Almirall i Llozer"
"0018";"C.";"dels";"Almogàvers";"Carrer dels Almogàvers"
"0019";"C.";"dels";"Alps";"Carrer dels Alps"
"0021";"Av.";"de";"Mariano Álvarez de Castro";"Avinguda de Mariano Álvarez de Castro"
"0022";"C.";"d'";"Andalusia";"Carrer d'Andalusia"
"0023";"Pl.";"d'";"Andalusia";"Plaça d'Andalusia"
"0024";"C.";"d'";"Andreu Tuyet i Santamaria";"Carrer d'Andreu Tuyet i Santamaria"
"0025";"C.";"de l'";"Aneto";"Carrer de l'Aneto"
"0026";"Pl.";"de l'";"Aneto";"Plaça de l'Aneto"
"0027";"C.";"de l'";"Àngel";"Carrer de l'Àngel"
"0028";"C.";"d'";"Àngela Bivern i Puig";"Carrer d'Àngela Bivern i Puig"
"0029";"C.";"d'";"Anselm Clavé i Camps";"Carrer d'Anselm Clavé i Camps"
"0030";"C.";"d'";"Antic Roca";"Carrer d'Antic Roca"
"0031";"Ctra.";"-";"Antiga d'Amer";"Carretera Antiga d'Amer"
"0032";"C.";"d'";"Anton Agullana";"Carrer d'Anton Agullana"
"0033";"C.";"d'";"Aragó";"Carrer d'Aragó"
"0035";"C.";"de l'";"Arc";"Carrer de l'Arc"
"0036";"C.";"de l'";"Argenteria";"Carrer de l'Argenteria"
"0037";"C.";"de";"Guillem Bofill";"Carrer de Guillem Bofill"
"0038";"C.";"dels";"Artillers";"Carrer dels Artillers"
"0039";"Pl.";"de l'";"Assumpció";"Plaça de l'Assumpció"
"0040";"C.";"d'";"Astúries";"Carrer d'Astúries"
"0041";"C.";"de l'";"Atlàntida";"Carrer de l'Atlàntida"
"0042";"C.";"de l'";"Auriga";"Carrer de l'Auriga"
"0043";"Trv.";"de l'";"Auriga";"Travessia de l'Auriga"
"0044";"C.";"de l'";"Avellaner";"Carrer de l'Avellaner"
"0045";"C.";"de l'";"Avi Xaxu";"Carrer de l'Avi Xaxu"
"0046";"C.";"de";"Bernat Bacià";"Carrer de Bernat Bacià"
"0047";"C.";"de";"Bailèn";"Carrer de Bailèn"
"0048";"C.";"del";"Balandrau";"Carrer del Balandrau"
"0049";"Ptge.";"del";"Balandrau";"Passatge del Balandrau"
"0050";"C.";"de les";"Illes Balears";"Carrer de les Illes Balears"
"0051";"C.";"de les";"Ballesteries";"Carrer de les Ballesteries"
"0052";"C.";"de";"Jaume Balmes";"Carrer de Jaume Balmes"
"0053";"C.";"del";"Baluard";"Carrer del Baluard"
"0054";"C.";"dels";"Banyoles";"Carrer dels Banyoles"
"0055";"C.";"de la";"Barca";"Carrer de la Barca"
"0056";"C.";"de";"Barcelona";"Carrer de Barcelona"
"0057";"C.";"del";"Barranc";"Carrer del Barranc"
"0058";"Pda.";"de la";"Barrufa";"Pujada de la Barrufa"
"0059";"C.";"de la";"Riera Bascanella";"Carrer de la Riera Bascanella"
"0060";"C.";"del";"Bassegoda";"Carrer del Bassegoda"
"0061";"C.";"de";"Bastiments";"Carrer de Bastiments"
"0062";"C.";"de";"Lluís Batlle i Prats";"Carrer de Lluís Batlle i Prats"
"0063";"C.";"de les";"Beates";"Carrer de les Beates"
"0064";"Pl.";"dels";"Bell-lloc";"Plaça dels Bell-lloc"
"0065";"C.";"de";"Bellmirall";"Carrer de Bellmirall"
"0066";"C.";"del";"Bellaire";"Carrer del Bellaire"
"0067";"C.";"de la";"Bellavista";"Carrer de la Bellavista"
"0068";"C.";"del";"Bellpuig";"Carrer del Bellpuig"
"0069";"C.";"de";"Berenguer Carnicer";"Carrer de Berenguer Carnicer"
"0070";"C.";"de";"Berenguer de Palol";"Carrer de Berenguer de Palol"
"0071";"C.";"de";"Bernat Boades";"Carrer de Bernat Boades"
"0072";"C.";"de";"Bilbao";"Carrer de Bilbao"
"0073";"C.";"de";"Bisbe Cartañà";"Carrer de Bisbe Cartañà"
"0074";"C.";"de";"Tomás de Lorenzana";"Carrer de Tomás de Lorenzana"
"0075";"C.";"de";"Bisbe Sivilla";"Carrer de Bisbe Sivilla"
"0076";"C.";"de";"Bluefields";"Carrer de Bluefields"
"0077";"C.";"de";"Carles de Bolós";"Carrer de Carles de Bolós"
"0078";"C.";"de";"Bonastruc de Porta";"Carrer de Bonastruc de Porta"
"0079";"C.";"de";"Bonaventura Carreras i Peralta";"Carrer de Bonaventura Carreras i Peralta"
"0080";"C.";"de";"Lluís Borrassà";"Carrer de Lluís Borrassà"
"0081";"Jdins.";"d'";"Ignasi Bosch i Reitg";"Jardins d'Ignasi Bosch i Reitg"
"0082";"C.";"del";"Bosquet";"Carrer del Bosquet"
"0083";"C.";"del";"Bou d'Or";"Carrer del Bou d'Or"
"0084";"C.";"de";"Bru Barnoya i Xiberta";"Carrer de Bru Barnoya i Xiberta"
"0086";"C.";"de la";"Riera Bullidors";"Carrer de la Riera Bullidors"
"0087";"C.";"del";"Cadí";"Carrer del Cadí"
"0088";"C.";"dels";"Calderers";"Carrer dels Calderers"
"0089";"Pl.";"de";"Francesc Calvet i Rubalcaba";"Plaça de Francesc Calvet i Rubalcaba"
"0090";"C.";"del";"Camp d'Or";"Carrer del Camp d'Or"
"0091";"C.";"del";"Camp de la Bateria";"Carrer del Camp de la Bateria"
"0092";"C.";"del";"Camp de la Plana";"Carrer del Camp de la Plana"
"0093";"C.";"del";"Camp de les Lloses";"Carrer del Camp de les Lloses"
"0094";"C.";"del";"Camp Gornau";"Carrer del Camp Gornau"
"0095";"C.";"de";"Campcardós";"Carrer de Campcardós"
"0096";"Ptge.";"de";"Campcardós";"Passatge de Campcardós"
"0099";"Dis.";"de";"Campdorà";"Disseminat de Campdorà"
"0101";"C.";"de";"Can Llobet";"Carrer de Can Llobet"
"0102";"C.";"de";"Can Massa";"Carrer de Can Massa"
"0103";"C.";"de";"Can Prunell";"Carrer de Can Prunell"
"0104";"C.";"de";"Can Sopa";"Carrer de Can Sopa"
"0105";"C.";"de";"Can Sunyer";"Carrer de Can Sunyer"
"0106";"C.";"de";"Can Sureda";"Carrer de Can Sureda"
"0107";"Ptge.";"de";"Can Sureda";"Passatge de Can Sureda"
"0108";"C.";"de";"Can Torroella";"Carrer de Can Torroella"
"0109";"C.";"de";"Can Triola";"Carrer de Can Triola"
"0110";"Trv.";"dels";"Canaders";"Travessia dels Canaders"
"0111";"Pg.";"de";"José Canalejas";"Passeig de José Canalejas"
"0112";"C.";"d'";"Antoni Canet";"Carrer d'Antoni Canet"
"0113";"C.";"del";"Canigó";"Carrer del Canigó"
"0114";"C.";"de";"Canonge Dorca";"Carrer de Canonge Dorca"
"0115";"C.";"de";"Canonge Morera";"Carrer de Canonge Morera"
"0116";"C.";"de";"Canonge Rovira";"Carrer de Canonge Rovira"
"0117";"C.";"del";"Cantàbric";"Carrer del Cantàbric"
"0118";"C.";"del";"Cap de Creus";"Carrer del Cap de Creus"
"0119";"C.";"dels";"Caputxins";"Carrer dels Caputxins"
"0120";"Dis.";"dels";"Caputxins";"Disseminat dels Caputxins"
"0122";"C.";"de";"Cardenal Margarit";"Carrer de Cardenal Margarit"
"0123";"C.";"de";"Carles Rahola";"Carrer de Carles Rahola"
"0124";"C.";"de";"Carme Auguet i Comalada";"Carrer de Carme Auguet i Comalada"
"0125";"C.";"del";"Carme";"Carrer del Carme"
"0126";"C.";"de";"Carme Gubert";"Carrer de Carme Gubert"
"0127";"C.";"de";"Manuel Carrasco i Formiguera";"Carrer de Manuel Carrasco i Formiguera"
"0128";"Trv.";"del";"Carril";"Travessia del Carril"
"0129";"C.";"de";"Cartagena";"Carrer de Cartagena"
"0130";"C.";"de";"Cassià Costal";"Carrer de Cassià Costal"
"0131";"C.";"del";"Castanyer";"Carrer del Castanyer"
"0132";"Pl.";"de les";"Castanyes";"Plaça de les Castanyes"
"0133";"Pda.";"al";"Castell";"Pujada al Castell"
"0134";"C.";"del";"Castell de Cartellà";"Carrer del Castell de Cartellà"
"0135";"C.";"del";"Castell de Montsolís";"Carrer del Castell de Montsolís"
"0136";"C.";"del";"Castell de Peralada";"Carrer del Castell de Peralada"
"0137";"C.";"del";"Castell de Requesens";"Carrer del Castell de Requesens"
"0138";"C.";"del";"Castell de Solterra";"Carrer del Castell de Solterra"
"0139";"C.";"del";"Castellet";"Carrer del Castellet"
"0140";"Pl.";"de";"Catalunya";"Plaça de Catalunya"
"0141";"Rbla.";"de";"Catalunya";"Rambla de Catalunya"
"0142";"Pl.";"de la";"Catedral";"Plaça de la Catedral"
"0143";"Pda.";"de la";"Catedral";"Pujada de la Catedral"
"0144";"C.";"de";"Caterina Albert";"Carrer de Caterina Albert"
"0145";"C.";"dels";"Cavallers";"Carrer dels Cavallers"
"0146";"C.";"-";"Central";"Carrer Central"
"0147";"C.";"de";"Cerverí";"Carrer de Cerverí"
"0148";"C.";"del";"Cervino";"Carrer del Cervino"
"0149";"C.";"dels";"Ciutadans";"Carrer dels Ciutadans"
"0150";"C.";"de la";"Claveria";"Carrer de la Claveria"
"0151";"C.";"del";"Coll d'Ares";"Carrer del Coll d'Ares"
"0152";"C.";"del";"Collsacabra";"Carrer del Collsacabra"
"0153";"C.";"de la";"Coma";"Carrer de la Coma"
"0154";"C.";"del";"Comanegra";"Carrer del Comanegra"
"0155";"C.";"del";"Comerç";"Carrer del Comerç"
"0156";"Cró.";"del";"Conflent";"Carreró del Conflent"
"0158";"C.";"del";"Cor de Maria";"Carrer del Cor de Maria"
"0159";"Pl.";"del";"Correu Vell";"Plaça del Correu Vell"
"0160";"C.";"de";"Còrsega";"Carrer de Còrsega"
"0161";"C.";"de la";"Cort Reial";"Carrer de la Cort Reial"
"0162";"C.";"de la";"Corunya";"Carrer de la Corunya"
"0163";"C.";"de la";"Costa Brava";"Carrer de la Costa Brava"
"0164";"C.";"de";"Pere Costa i Cases";"Carrer de Pere Costa i Cases"
"0165";"C.";"del";"Costabona";"Carrer del Costabona"
"0166";"C.";"de la";"Creu";"Carrer de la Creu"
"0167";"Dis.";"de la";"Creu de Palau";"Disseminat de la Creu de Palau"
"0168";"Pda.";"de la";"Creu de Palau";"Pujada de la Creu de Palau"
"0169";"Trv.";"de la";"Creu";"Travessia de la Creu"
"0170";"C.";"de les";"Creus";"Carrer de les Creus"
"0171";"C.";"de";"Cristòfor Colom";"Carrer de Cristòfor Colom"
"0172";"C.";"de";"Cristòfor Grober";"Carrer de Cristòfor Grober"
"0173";"C.";"de la";"Croada";"Carrer de la Croada"
"0174";"C.";"de";"Manuel Cúndaro";"Carrer de Manuel Cúndaro"
"0175";"Pl.";"de";"Salvador Dalí i Domènech";"Plaça de Salvador Dalí i Domènech"
"0176";"C.";"de";"Josep Maria Dalmau";"Carrer de Josep Maria Dalmau"
"0177";"C.";"del";"Riu Daró";"Carrer del Riu Daró"
"0178";"Jdins.";"de";"John Lennon";"Jardins de John Lennon"
"0179";"Pg.";"de la";"Devesa";"Passeig de la Devesa"
"0180";"Pl.";"de la";"Diputació";"Plaça de la Diputació"
"0181";"Dis.";"de";"Domeny";"Disseminat de Domeny"
"0182";"C.";"de";"Josep Ametller i Viñas";"Carrer de Josep Ametller i Viñas"
"0183";"C.";"de l'";"Illa d'Eivissa";"Carrer de l'Illa d'Eivissa"
"0184";"C.";"de";"Francesc Eiximenis";"Carrer de Francesc Eiximenis"
"0185";"C.";"d'";"Elx";"Carrer d'Elx"
"0186";"C.";"d'";"Emili Grahit";"Carrer d'Emili Grahit"
"0187";"C.";"de l'";"Empordà";"Carrer de l'Empordà"
"0188";"C.";"d'";"Empúries";"Carrer d'Empúries"
"0189";"C.";"de les";"Enderrocades";"Carrer de les Enderrocades"
"0190";"C.";"d'";"Enric Claudi Girbal i Nadal";"Carrer d'Enric Claudi Girbal i Nadal"
"0191";"C.";"de l'";"Escola Pia";"Carrer de l'Escola Pia"
"0192";"C.";"de l'";"Escorial";"Carrer de l'Escorial"
"0193";"Pl.";"d'";"Espanya";"Plaça d'Espanya"
"0194";"C.";"de l'";"Esperanto";"Carrer de l'Esperanto"
"0195";"C.";"de l'";"Esport";"Carrer de l'Esport"
"0196";"Pl.";"de";"Salvador Espriu";"Plaça de Salvador Espriu"
"0197";"C.";"de";"Damià Estela i Molinet";"Carrer de Damià Estela i Molinet"
"0198";"Pl.";"d'";"Europa";"Plaça d'Europa"
"0199";"C.";"de l'";"Everest";"Carrer de l'Everest"
"0200";"Trv.";"de la";"Fàbrica";"Travessia de la Fàbrica"
"0201";"C.";"de";"Falgàs";"Carrer de Falgàs"
"0202";"C.";"del";"Far";"Carrer del Far"
"0203";"Ptge.";"del";"Far";"Passatge del Far"
"0204";"Ptge.";"de la";"Farigola";"Passatge de la Farigola"
"0205";"C.";"de la";"Ferradura";"Carrer de la Ferradura"
"0206";"C.";"de";"Ferran Agulló i Vidal";"Carrer de Ferran Agulló i Vidal"
"0207";"C.";"de";"Ferran el Catòlic";"Carrer de Ferran el Catòlic"
"0209";"Rda.";"de";"Ferran Puig";"Ronda de Ferran Puig"
"0210";"C.";"de";"R. Ferràndiz i M. Bellés";"Carrer de R. Ferràndiz i M. Bellés"
"0211";"C.";"de les";"Ferreries Velles";"Carrer de les Ferreries Velles"
"0212";"C.";"de";"Figuerola";"Carrer de Figuerola"
"0213";"C.";"de";"Finestrelles";"Carrer de Finestrelles"
"0214";"C.";"del";"Riu Fluvià";"Carrer del Riu Fluvià"
"0215";"Camí";"de la";"Font de l'Abat";"Camí de la Font de l'Abat"
"0216";"Ptge.";"de la";"Font de l'Abella";"Passatge de la Font de l'Abella"
"0217";"C.";"de la";"Font";"Carrer de la Font"
"0218";"C.";"de la";"Font de la Lluna";"Carrer de la Font de la Lluna"
"0219";"Av.";"de la";"Font de la Pólvora";"Avinguda de la Font de la Pólvora"
"0220";"Bda.";"de la";"Font del Bisbe";"Baixada de la Font del Bisbe"
"0221";"C.";"de la";"Font del Rei";"Carrer de la Font del Rei"
"0223";"C.";"de";"Fontanilles";"Carrer de Fontanilles"
"0224";"C.";"de";"Fontajau";"Carrer de Fontajau"
"0225";"C.";"de la";"Força";"Carrer de la Força"
"0226";"Rda.";"del";"Fort Roig";"Ronda del Fort Roig"
"0227";"Av.";"de";"França";"Avinguda de França"
"0228";"C.";"de";"Francesc Artau";"Carrer de Francesc Artau"
"0229";"C.";"de";"Francesc de Ciurana i Hernández";"Carrer de Francesc de Ciurana i Hernández"
"0230";"C.";"de";"Doctor Francesc Coll i Turbau";"Carrer de Doctor Francesc Coll i Turbau"
"0231";"C.";"de";"Francesc Estival i Cisa";"Carrer de Francesc Estival i Cisa"
"0232";"C.";"de";"Francesc Macià";"Carrer de Francesc Macià"
"0233";"C.";"de";"Francesc Mateu";"Carrer de Francesc Mateu"
"0234";"C.";"de";"Francesc Rogés";"Carrer de Francesc Rogés"
"0235";"C.";"de";"Francesc Romaguera";"Carrer de Francesc Romaguera"
"0236";"C.";"de";"Francesc Samsó";"Carrer de Francesc Samsó"
"0237";"C.";"del";"Riu Freser";"Carrer del Riu Freser"
"0238";"C.";"de";"Galícia";"Carrer de Galícia"
"0239";"C.";"del";"Riu Galligants";"Carrer del Riu Galligants"
"0240";"C.";"de";"Federico García Lorca";"Carrer de Federico García Lorca"
"0241";"C.";"de la";"Riera Garrap";"Carrer de la Riera Garrap"
"0242";"C.";"de la";"Garrotxa";"Carrer de la Garrotxa"
"0243";"C.";"de";"Doctor Gaspar Casal";"Carrer de Doctor Gaspar Casal"
"0244";"C.";"de les";"Gavarres";"Carrer de les Gavarres"
"0245";"Pl.";"de";"Camil Geis";"Plaça de Camil Geis"
"0246";"C.";"del";"General Fournàs";"Carrer del General Fournàs"
"0247";"Pl.";"del";"General Marvà";"Plaça del General Marvà"
"0248";"Pg.";"del";"General Mendoza";"Passeig del General Mendoza"
"0249";"C.";"del";"General O'Donnell";"Carrer del General O'Donnell"
"0250";"Pg.";"del";"General Peralta";"Passeig del General Peralta"
"0251";"Grup";"-";"Germans Sàbat";"Grup Germans Sàbat"
"0252";"Pl.";"dels";"Germans Sàbat";"Plaça dels Germans Sàbat"
"0253";"C.";"dels";"Ginesta";"Carrer dels Ginesta"
"0254";"C.";"de";"Ricard Giralt i Casadesús";"Carrer de Ricard Giralt i Casadesús"
"0256";"Grup";"-";"Girona per Girona";"Grup Girona per Girona"
"0257";"Ptge.";"de";"Miquel Gómez";"Passatge de Miquel Gómez"
"0259";"C.";"de";"Gran Canària";"Carrer de Gran Canària"
"0260";"G.Via";"de";"Jaume I";"Gran Via de Jaume I"
"0261";"C.";"del";"Riu Guadiana";"Carrer del Riu Guadiana"
"0262";"C.";"del";"Riu Güell";"Carrer del Riu Güell"
"0263";"Pl.";"del";"Riu Güell";"Plaça del Riu Güell"
"0264";"C.";"de";"Guillem Colteller";"Carrer de Guillem Colteller"
"0265";"C.";"de les";"Guilleries";"Carrer de les Guilleries"
"0266";"C.";"de";"Guipúscoa";"Carrer de Guipúscoa"
"0267";"C.";"de";"Miguel Hernández";"Carrer de Miguel Hernández"
"0268";"C.";"de les";"Heroïnes de Santa Bàrbara";"Carrer de les Heroïnes de Santa Bàrbara"
"0269";"C.";"de l'";"Himàlaia";"Carrer de l'Himàlaia"
"0270";"Av.";"de la";"Hispanitat";"Avinguda de la Hispanitat"
"0271";"C.";"de l'";"Hortènsia";"Carrer de l'Hortènsia"
"0272";"C.";"de les";"Hortes";"Carrer de les Hortes"
"0273";"Dis.";"de les";"Hortes";"Disseminat de les Hortes"
"0274";"Pl.";"de l'";"Hospital";"Plaça de l'Hospital"
"0275";"C.";"de l'";"Hostal Nou";"Carrer de l'Hostal Nou"
"0276";"C.";"d'";"Ibèria";"Carrer d'Ibèria"
"0277";"C.";"d'";"Ignasi Iglésias";"Carrer d'Ignasi Iglésias"
"0278";"C.";"de l'";"Illa";"Carrer de l'Illa"
"0279";"C.";"de l'";"Illa de Cabrera";"Carrer de l'Illa de Cabrera"
"0280";"C.";"de l'";"Illa de Formentera";"Carrer de l'Illa de Formentera"
"0281";"C.";"de l'";"Illa de La Gomera";"Carrer de l'Illa de La Gomera"
"0282";"C.";"de l'";"Illa de La Palma";"Carrer de l'Illa de La Palma"
"0283";"C.";"de les";"Illes Filipines";"Carrer de les Illes Filipines"
"0284";"C.";"de les";"Illes Formigues";"Carrer de les Illes Formigues"
"0285";"C.";"de l'";"Illa de Fuerteventura";"Carrer de l'Illa de Fuerteventura"
"0286";"C.";"de les";"Illes Medes";"Carrer de les Illes Medes"
"0287";"C.";"dels";"Impressors Bro";"Carrer dels Impressors Bro"
"0288";"C.";"dels";"Impressors Oliva";"Carrer dels Impressors Oliva"
"0289";"Pl.";"de la";"Independència";"Plaça de la Independència"
"0290";"Plta.";"de l'";"Institut Vell";"Placeta de l'Institut Vell"
"0291";"C.";"d'";"Isabel la Catòlica";"Carrer d'Isabel la Catòlica"
"0292";"Jdins.";"dels";"Germans Maristes";"Jardins dels Germans Maristes"
"0293";"Pl.";"de";"Jaume Vicens i Vives";"Plaça de Jaume Vicens i Vives"
"0294";"C.";"de";"Joan Alsina i Hurtós";"Carrer de Joan Alsina i Hurtós"
"0295";"C.";"de";"Joan Bruguera";"Carrer de Joan Bruguera"
"0296";"C.";"de";"Joan Maragall";"Carrer de Joan Maragall"
"0297";"C.";"de";"Joan Planas i Castañer";"Carrer de Joan Planas i Castañer"
"0298";"C.";"de";"Joan Reglà";"Carrer de Joan Reglà"
"0299";"C.";"de";"Joan Tarrús i Bru";"Carrer de Joan Tarrús i Bru"
"0300";"C.";"de";"Joan Torró i Cabratosa";"Carrer de Joan Torró i Cabratosa"
"0301";"Plta.";"de";"Joana de Jugan";"Placeta de Joana de Jugan"
"0302";"C.";"de";"Joaquim Botet i Sisó";"Carrer de Joaquim Botet i Sisó"
"0303";"C.";"de";"Joaquim Ruyra i Oms";"Carrer de Joaquim Ruyra i Oms"
"0304";"C.";"de";"Joaquim Vayreda";"Carrer de Joaquim Vayreda"
"0305";"C.";"de la";"Joeria Petita";"Carrer de la Joeria Petita"
"0306";"Pl.";"de";"Jordi de Sant Jordi";"Plaça de Jordi de Sant Jordi"
"0307";"C.";"de";"Josep Clarà i Ayats";"Carrer de Josep Clarà i Ayats"
"0308";"Pl.";"de";"Josep Irla i Bosch";"Plaça de Josep Irla i Bosch"
"0309";"C.";"de";"Josep Maria Gironella i Pous";"Carrer de Josep Maria Gironella i Pous"
"0310";"C.";"de";"Josep Morató i Grau";"Carrer de Josep Morató i Grau"
"0311";"C.";"de";"Josep Maria Prat i Roca";"Carrer de Josep Maria Prat i Roca"
"0312";"Pl.";"de";"Josep Pallach i Carolà";"Plaça de Josep Pallach i Carolà"
"0313";"Pl.";"de";"Josep Pla";"Plaça de Josep Pla"
"0314";"Av.";"de";"Josep Tarradellas i Joan";"Avinguda de Josep Tarradellas i Joan"
"0315";"C.";"de";"Josep Tharrats";"Carrer de Josep Tharrats"
"0316";"C.";"de";"Josep Viader i Moliner";"Carrer de Josep Viader i Moliner"
"0317";"C.";"de";"Juli Garreta";"Carrer de Juli Garreta"
"0318";"C.";"de";"Julià de Bolívar";"Carrer de Julià de Bolívar"
"0319";"C.";"de";"Julià de Chia";"Carrer de Julià de Chia"
"0320";"Pl.";"dels";"Jurats";"Plaça dels Jurats"
"0321";"C.";"de l'";"Albera";"Carrer de l'Albera"
"0322";"Av.";"de l'";"Amical Mauthausen";"Avinguda de l'Amical Mauthausen"
"0324";"C.";"de";"Laureà Dalmau i Pla";"Carrer de Laureà Dalmau i Pla"
"0325";"C.";"de";"Lepant";"Carrer de Lepant"
"0326";"Pl.";"dels";"Lledoners";"Plaça dels Lledoners"
"0327";"C.";"de la";"Llebre";"Carrer de la Llebre"
"0328";"C.";"de";"Lleida";"Carrer de Lleida"
"0330";"Rbla.";"de la";"Llibertat";"Rambla de la Llibertat"
"0331";"C.";"del";"Riu Llierca";"Carrer del Riu Llierca"
"0332";"Pl.";"del";"Llimoner";"Plaça del Llimoner"
"0333";"Pl.";"de";"Lluís Companys";"Plaça de Lluís Companys"
"0334";"Av.";"de";"Lluís Pericot";"Avinguda de Lluís Pericot"
"0335";"C.";"de";"Lluís Antoni Santaló i Sors";"Carrer de Lluís Antoni Santaló i Sors"
"0336";"C.";"de";"Félix Lope de Vega";"Carrer de Félix Lope de Vega"
"0337";"C.";"de la";"Mare de Déu de Fàtima";"Carrer de la Mare de Déu de Fàtima"
"0338";"C.";"de la";"Mare de Déu de la Salut";"Carrer de la Mare de Déu de la Salut"
"0339";"C.";"de la";"Mare de Déu de Loreto";"Carrer de la Mare de Déu de Loreto"
"0340";"Pl.";"de la";"Mare de Déu de Montserrat";"Plaça de la Mare de Déu de Montserrat"
"0341";"C.";"de la";"Mare de Déu de Núria";"Carrer de la Mare de Déu de Núria"
"0342";"C.";"de la";"Mare de Déu de Rocacorba";"Carrer de la Mare de Déu de Rocacorba"
